Fuel,Stat,Value
Crude oil,Price ($USD/kg),0.592895251
Natural gas,Price ($USD/kg),0.256492891
Coal,Price ($USD/kg),0.24235
Natural uranium,Price ($USD/kg),87.523414
Crude oil,Energy (MJ/$USD),75.05541646
Natural gas,Energy (MJ/$USD),189.0890613
Coal,Energy (MJ/$USD),99.03032804
Natural uranium,Energy (MJ/$USD),5712.757046
Crude oil,CO2 (kg/kg),3.26185
Natural gas,CO2 (kg/kg),2.70727
Coal,CO2 (kg/kg),2.2704
Natural uranium,CO2 (kg/kg),0.0
Crude oil,Energy (MJ/kg),44.5
Natural gas,Energy (MJ/kg),48.5
Coal,Energy (MJ/kg),24.0
Natural uranium,Energy (MJ/kg),500000.0
